#   z            H/c (1/Mpc)           D_A(Mpc)        D_L(Mpc)  d_comoving(Mpc)     Omega_m(z)      c*Age(Mpc) 
   0.6067642E+00   0.3196430E-03   0.1426330E+04   0.3682343E+04   0.2291776E+04   0.3859587E-01   0.2377106E+04
   0.6763852E+00   0.3338032E-03   0.1494245E+04   0.4199227E+04   0.2504930E+04   0.3116200E-01   0.2247219E+04
   0.6239331E+00   0.3230802E-03   0.1444149E+04   0.3808451E+04   0.2345202E+04   0.3659339E-01   0.2344031E+04
   0.6736851E+00   0.3332431E-03   0.1491818E+04   0.4178913E+04   0.2496834E+04   0.3141840E-01   0.2252052E+04
   0.6641199E+00   0.3312661E-03   0.1483093E+04   0.4107123E+04   0.2468045E+04   0.3234595E-01   0.2269302E+04
   0.6219020E+00   0.3226716E-03   0.1442079E+04   0.3793485E+04   0.2338911E+04   0.3682411E-01   0.2347907E+04
   0.6995188E+00   0.3386368E-03   0.1514392E+04   0.4374114E+04   0.2573737E+04   0.2905905E-01   0.2206454E+04
   0.6051866E+00   0.3193290E-03   0.1424655E+04   0.3670801E+04   0.2286838E+04   0.3878595E-01   0.2380180E+04
   0.6170913E+00   0.3217061E-03   0.1437136E+04   0.3758088E+04   0.2323980E+04   0.3737709E-01   0.2357127E+04
   0.6580498E+00   0.3300171E-03   0.1477450E+04   0.4061702E+04   0.2449686E+04   0.3295050E-01   0.2280355E+04
   0.6593837E+00   0.3302912E-03   0.1478698E+04   0.4071674E+04   0.2453727E+04   0.3281657E-01   0.2277919E+04
   0.6770149E+00   0.3339339E-03   0.1494808E+04   0.4203967E+04   0.2506816E+04   0.3110254E-01   0.2246094E+04
   0.6654757E+00   0.3315457E-03   0.1484342E+04   0.4117283E+04   0.2472136E+04   0.3221262E-01   0.2266845E+04
   0.6828019E+00   0.3351376E-03   0.1499947E+04   0.4247585E+04   0.2524114E+04   0.3056204E-01   0.2235797E+04
   0.6998086E+00   0.3386978E-03   0.1514637E+04   0.4376315E+04   0.2574593E+04   0.2903373E-01   0.2205950E+04
   0.6819125E+00   0.3349523E-03   0.1499162E+04   0.4240874E+04   0.2521460E+04   0.3064443E-01   0.2237375E+04
   0.6856042E+00   0.3357219E-03   0.1502410E+04   0.4268740E+04   0.2532469E+04   0.3030411E-01   0.2230836E+04
   0.6672603E+00   0.3319140E-03   0.1485980E+04   0.4130663E+04   0.2477516E+04   0.3203808E-01   0.2263617E+04
   0.6868730E+00   0.3359867E-03   0.1503520E+04   0.4278326E+04   0.2536247E+04   0.3018813E-01   0.2228596E+04
   0.6554430E+00   0.3294821E-03   0.1475002E+04   0.4042230E+04   0.2441781E+04   0.3321400E-01   0.2285126E+04
   0.6907650E+00   0.3368003E-03   0.1506901E+04   0.4307758E+04   0.2547816E+04   0.2983547E-01   0.2221745E+04
   0.6279238E+00   0.3238843E-03   0.1448187E+04   0.3837894E+04   0.2357539E+04   0.3614479E-01   0.2336443E+04
   0.6015897E+00   0.3186142E-03   0.1420814E+04   0.3644515E+04   0.2275561E+04   0.3922326E-01   0.2387213E+04
   0.6373981E+00   0.3258011E-03   0.1457620E+04   0.3907986E+04   0.2386705E+04   0.3510425E-01   0.2318579E+04
   0.6794339E+00   0.3344366E-03   0.1496965E+04   0.4222188E+04   0.2514054E+04   0.3087531E-01   0.2241781E+04
   0.6417708E+00   0.3266895E-03   0.1461902E+04   0.3940427E+04   0.2400108E+04   0.3463536E-01   0.2310404E+04
   0.6880690E+00   0.3362366E-03   0.1504562E+04   0.4287366E+04   0.2539805E+04   0.3007926E-01   0.2226487E+04
   0.6479423E+00   0.3279473E-03   0.1467869E+04   0.3986311E+04   0.2418963E+04   0.3398549E-01   0.2298941E+04
   0.6589107E+00   0.3301940E-03   0.1478256E+04   0.4068137E+04   0.2452294E+04   0.3286399E-01   0.2278782E+04
   0.6915170E+00   0.3369578E-03   0.1507551E+04   0.4313451E+04   0.2550049E+04   0.2976786E-01   0.2220425E+04
   0.6930119E+00   0.3372709E-03   0.1508839E+04   0.4324770E+04   0.2554483E+04   0.2963398E-01   0.2217805E+04
   0.6214868E+00   0.3225882E-03   0.1441655E+04   0.3790427E+04   0.2337624E+04   0.3687147E-01   0.2348701E+04
   0.6325989E+00   0.3248288E-03   0.1452869E+04   0.3872447E+04   0.2371952E+04   0.3562707E-01   0.2327602E+04
   0.6700867E+00   0.3324981E-03   0.1488560E+04   0.4151875E+04   0.2486024E+04   0.3176379E-01   0.2258518E+04
   0.6328412E+00   0.3248778E-03   0.1453110E+04   0.3874239E+04   0.2372698E+04   0.3560047E-01   0.2327145E+04
   0.6381459E+00   0.3259529E-03   0.1458356E+04   0.3913530E+04   0.2388999E+04   0.3502356E-01   0.2317178E+04
   0.6489138E+00   0.3281457E-03   0.1468800E+04   0.3993544E+04   0.2421924E+04   0.3388445E-01   0.2297145E+04
   0.6366698E+00   0.3256534E-03   0.1456903E+04   0.3902588E+04   0.2384469E+04   0.3518303E-01   0.2319945E+04
   0.6861612E+00   0.3358381E-03   0.1502898E+04   0.4272947E+04   0.2534128E+04   0.3025314E-01   0.2229852E+04
   0.6343604E+00   0.3251854E-03   0.1454619E+04   0.3885483E+04   0.2377372E+04   0.3543417E-01   0.2324284E+04
   0.6517188E+00   0.3287192E-03   0.1471476E+04   0.4014444E+04   0.2430465E+04   0.3359458E-01   0.2291970E+04
   0.6893287E+00   0.3364999E-03   0.1505657E+04   0.4296892E+04   0.2543550E+04   0.2996508E-01   0.2224270E+04
   0.6865280E+00   0.3359147E-03   0.1503218E+04   0.4275719E+04   0.2535219E+04   0.3021962E-01   0.2229205E+04
   0.6155230E+00   0.3213919E-03   0.1435512E+04   0.3746564E+04   0.2319103E+04   0.3755937E-01   0.2360144E+04
   0.6602904E+00   0.3304776E-03   0.1479543E+04   0.4078455E+04   0.2456471E+04   0.3272589E-01   0.2276266E+04
   0.6873948E+00   0.3360957E-03   0.1503975E+04   0.4282269E+04   0.2537799E+04   0.3014059E-01   0.2227676E+04
   0.6464431E+00   0.3276413E-03   0.1466427E+04   0.3975154E+04   0.2414389E+04   0.3414209E-01   0.2301718E+04
   0.6561830E+00   0.3296339E-03   0.1475698E+04   0.4047755E+04   0.2444026E+04   0.3313897E-01   0.2283770E+04
   0.6522011E+00   0.3288179E-03   0.1471934E+04   0.4018040E+04   0.2431932E+04   0.3354502E-01   0.2291082E+04
   0.6333286E+00   0.3249764E-03   0.1453595E+04   0.3877845E+04   0.2374198E+04   0.3554702E-01   0.2326227E+04
   0.6762143E+00   0.3337677E-03   0.1494092E+04   0.4197941E+04   0.2504418E+04   0.3117816E-01   0.2247524E+04
   0.6619657E+00   0.3308223E-03   0.1481100E+04   0.4090991E+04   0.2461538E+04   0.3255906E-01   0.2273215E+04
   0.6825885E+00   0.3350931E-03   0.1499759E+04   0.4245974E+04   0.2523477E+04   0.3058179E-01   0.2236175E+04
   0.6161213E+00   0.3215117E-03   0.1436132E+04   0.3750959E+04   0.2320964E+04   0.3748972E-01   0.2358992E+04
   0.6026847E+00   0.3188316E-03   0.1421987E+04   0.3652513E+04   0.2278997E+04   0.3908954E-01   0.2385069E+04
   0.6658117E+00   0.3316150E-03   0.1484651E+04   0.4119801E+04   0.2473149E+04   0.3217968E-01   0.2266237E+04
   0.6788458E+00   0.3343143E-03   0.1496442E+04   0.4217757E+04   0.2512295E+04   0.3093039E-01   0.2242828E+04
   0.6429680E+00   0.3269331E-03   0.1463066E+04   0.3949319E+04   0.2403771E+04   0.3450821E-01   0.2308174E+04
   0.6178358E+00   0.3218553E-03   0.1437905E+04   0.3763561E+04   0.2326294E+04   0.3729091E-01   0.2355696E+04
   0.6609248E+00   0.3306081E-03   0.1480133E+04   0.4083201E+04   0.2458390E+04   0.3266260E-01   0.2275110E+04
   0.6975618E+00   0.3382255E-03   0.1512731E+04   0.4359261E+04   0.2567954E+04   0.2923064E-01   0.2209858E+04
   0.6820845E+00   0.3349881E-03   0.1499314E+04   0.4242172E+04   0.2521973E+04   0.3062848E-01   0.2237069E+04
   0.6128762E+00   0.3208624E-03   0.1432758E+04   0.3727132E+04   0.2310860E+04   0.3786927E-01   0.2365250E+04
   0.6590837E+00   0.3302295E-03   0.1478417E+04   0.4069431E+04   0.2452818E+04   0.3284664E-01   0.2278466E+04
   0.6763580E+00   0.3337975E-03   0.1494220E+04   0.4199022E+04   0.2504848E+04   0.3116457E-01   0.2247268E+04
   0.6970374E+00   0.3381153E-03   0.1512285E+04   0.4355283E+04   0.2566403E+04   0.2927681E-01   0.2210772E+04
   0.6382431E+00   0.3259726E-03   0.1458451E+04   0.3914250E+04   0.2389298E+04   0.3501308E-01   0.2316996E+04
   0.6802207E+00   0.3346002E-03   0.1497664E+04   0.4228118E+04   0.2516406E+04   0.3080181E-01   0.2240381E+04
   0.6026715E+00   0.3188290E-03   0.1421973E+04   0.3652417E+04   0.2278955E+04   0.3909115E-01   0.2385095E+04
   0.6987720E+00   0.3384798E-03   0.1513759E+04   0.4368445E+04   0.2571531E+04   0.2912439E-01   0.2207752E+04
   0.6706296E+00   0.3326104E-03   0.1489053E+04   0.4155952E+04   0.2487656E+04   0.3171141E-01   0.2257541E+04
   0.6855155E+00   0.3357034E-03   0.1502332E+04   0.4268070E+04   0.2532205E+04   0.3031224E-01   0.2230993E+04
   0.6817353E+00   0.3349154E-03   0.1499006E+04   0.4239538E+04   0.2520931E+04   0.3066087E-01   0.2237689E+04
   0.6134703E+00   0.3209812E-03   0.1433377E+04   0.3731492E+04   0.2312712E+04   0.3779945E-01   0.2364103E+04
   0.6539169E+00   0.3291693E-03   0.1473561E+04   0.4030839E+04   0.2437147E+04   0.3336937E-01   0.2287927E+04
   0.6264693E+00   0.3235910E-03   0.1446720E+04   0.3827157E+04   0.2353046E+04   0.3630757E-01   0.2339204E+04
   0.6896618E+00   0.3365695E-03   0.1505946E+04   0.4299411E+04   0.2544540E+04   0.2993496E-01   0.2223684E+04
   0.6195605E+00   0.3222013E-03   0.1439680E+04   0.3776247E+04   0.2331649E+04   0.3709211E-01   0.2352388E+04
   0.6947659E+00   0.3376386E-03   0.1510345E+04   0.4338059E+04   0.2559681E+04   0.2947775E-01   0.2214736E+04
   0.6259663E+00   0.3234896E-03   0.1446212E+04   0.3823446E+04   0.2351491E+04   0.3636406E-01   0.2340160E+04
   0.6408532E+00   0.3265029E-03   0.1461007E+04   0.3933615E+04   0.2397298E+04   0.3473316E-01   0.2312116E+04
   0.6905067E+00   0.3367463E-03   0.1506678E+04   0.4305804E+04   0.2547049E+04   0.2985873E-01   0.2222199E+04
   0.6104570E+00   0.3203792E-03   0.1430225E+04   0.3709390E+04   0.2303315E+04   0.3815502E-01   0.2369932E+04
   0.6504010E+00   0.3284496E-03   0.1470221E+04   0.4004623E+04   0.2426454E+04   0.3373041E-01   0.2294399E+04
   0.6865608E+00   0.3359215E-03   0.1503247E+04   0.4275966E+04   0.2535317E+04   0.3021663E-01   0.2229147E+04
   0.6932799E+00   0.3373270E-03   0.1509070E+04   0.4326800E+04   0.2555277E+04   0.2961005E-01   0.2217335E+04
   0.6417668E+00   0.3266887E-03   0.1461898E+04   0.3940398E+04   0.2400096E+04   0.3463578E-01   0.2310412E+04
   0.6066831E+00   0.3196268E-03   0.1426244E+04   0.3681749E+04   0.2291522E+04   0.3860562E-01   0.2377264E+04
   0.6579874E+00   0.3300043E-03   0.1477392E+04   0.4061235E+04   0.2449497E+04   0.3295678E-01   0.2280469E+04
   0.7124922E+00   0.3413750E-03   0.1525200E+04   0.4472847E+04   0.2611893E+04   0.2794979E-01   0.2184088E+04
   0.7715597E+00   0.3540864E-03   0.1570252E+04   0.4928114E+04   0.2781794E+04   0.2346615E-01   0.2086538E+04
   0.7561967E+00   0.3507421E-03   0.1559165E+04   0.4808818E+04   0.2738200E+04   0.2454892E-01   0.2111253E+04
   0.7905741E+00   0.3582620E-03   0.1583392E+04   0.5076601E+04   0.2835181E+04   0.2219981E-01   0.2056563E+04
   0.7696483E+00   0.3536689E-03   0.1568895E+04   0.4913239E+04   0.2776393E+04   0.2359789E-01   0.2089588E+04
   0.7831732E+00   0.3566320E-03   0.1578352E+04   0.5018697E+04   0.2814476E+04   0.2268331E-01   0.2068150E+04
   0.7577359E+00   0.3510760E-03   0.1560295E+04   0.4820743E+04   0.2742586E+04   0.2443794E-01   0.2108756E+04
   0.7779211E+00   0.3554789E-03   0.1574718E+04   0.4977690E+04   0.2799725E+04   0.2303364E-01   0.2076434E+04
   0.7538486E+00   0.3502333E-03   0.1557432E+04   0.4790639E+04   0.2731501E+04   0.2471932E-01   0.2115070E+04
   0.7823528E+00   0.3564517E-03   0.1577788E+04   0.5012287E+04   0.2812175E+04   0.2273764E-01   0.2069441E+04
   0.7229766E+00   0.3436021E-03   0.1533687E+04   0.4552976E+04   0.2642506E+04   0.2708806E-01   0.2166266E+04
   0.7164809E+00   0.3422208E-03   0.1528455E+04   0.4503296E+04   0.2623563E+04   0.2761837E-01   0.2177281E+04
   0.7730283E+00   0.3544074E-03   0.1571289E+04   0.4939550E+04   0.2785940E+04   0.2336549E-01   0.2084198E+04
   0.7822728E+00   0.3564341E-03   0.1577733E+04   0.5011662E+04   0.2811950E+04   0.2274294E-01   0.2069567E+04
   0.7325464E+00   0.3456460E-03   0.1541243E+04   0.4626376E+04   0.2670275E+04   0.2632752E-01   0.2150194E+04
   0.7831463E+00   0.3566261E-03   0.1578334E+04   0.5018487E+04   0.2814400E+04   0.2268509E-01   0.2068192E+04
   0.7172959E+00   0.3423938E-03   0.1529116E+04   0.4509524E+04   0.2625944E+04   0.2755119E-01   0.2175894E+04
   0.7970389E+00   0.3596909E-03   0.1587717E+04   0.5127293E+04   0.2853190E+04   0.2178694E-01   0.2046523E+04
   0.7680584E+00   0.3533219E-03   0.1567762E+04   0.4900873E+04   0.2771895E+04   0.2370810E-01   0.2092131E+04
   0.7994940E+00   0.3602347E-03   0.1589341E+04   0.5146571E+04   0.2860010E+04   0.2163243E-01   0.2042730E+04
   0.7765419E+00   0.3551766E-03   0.1573756E+04   0.4966933E+04   0.2795843E+04   0.2312664E-01   0.2078618E+04
   0.7740887E+00   0.3546394E-03   0.1572036E+04   0.4947811E+04   0.2788931E+04   0.2329312E-01   0.2082512E+04
   0.7905851E+00   0.3582645E-03   0.1583399E+04   0.5076687E+04   0.2835211E+04   0.2219910E-01   0.2056546E+04
   0.7029034E+00   0.3393493E-03   0.1517245E+04   0.4399827E+04   0.2583721E+04   0.2876496E-01   0.2200585E+04
   0.7681596E+00   0.3533439E-03   0.1567835E+04   0.4901660E+04   0.2772182E+04   0.2370107E-01   0.2091969E+04
   0.7399167E+00   0.3472273E-03   0.1546942E+04   0.4683072E+04   0.2691550E+04   0.2575814E-01   0.2137940E+04
   0.7010748E+00   0.3389642E-03   0.1515706E+04   0.4385932E+04   0.2578330E+04   0.2892343E-01   0.2203753E+04
   0.7289679E+00   0.3448805E-03   0.1538438E+04   0.4598900E+04   0.2659911E+04   0.2660906E-01   0.2156182E+04
   0.7032645E+00   0.3394254E-03   0.1517548E+04   0.4402573E+04   0.2584785E+04   0.2873378E-01   0.2199960E+04
   0.7093323E+00   0.3407062E-03   0.1522599E+04   0.4448756E+04   0.2602628E+04   0.2821552E-01   0.2189503E+04
   0.7100751E+00   0.3408633E-03   0.1523213E+04   0.4454417E+04   0.2604808E+04   0.2815279E-01   0.2188228E+04
   0.7475623E+00   0.3488742E-03   0.1552744E+04   0.4742040E+04   0.2713517E+04   0.2518210E-01   0.2125343E+04
   0.7047396E+00   0.3397364E-03   0.1518783E+04   0.4413791E+04   0.2589129E+04   0.2860681E-01   0.2197411E+04
   0.7915095E+00   0.3584685E-03   0.1584022E+04   0.5083929E+04   0.2837791E+04   0.2213952E-01   0.2055105E+04
   0.7404420E+00   0.3473403E-03   0.1547344E+04   0.4687119E+04   0.2693063E+04   0.2571809E-01   0.2137071E+04
   0.7630706E+00   0.3522351E-03   0.1564178E+04   0.4862120E+04   0.2757757E+04   0.2405765E-01   0.2100139E+04
   0.7281094E+00   0.3446971E-03   0.1537762E+04   0.4592314E+04   0.2657421E+04   0.2667711E-01   0.2157623E+04
   0.7755621E+00   0.3549620E-03   0.1573070E+04   0.4959293E+04   0.2793084E+04   0.2319297E-01   0.2080172E+04
   0.7223407E+00   0.3434667E-03   0.1533178E+04   0.4548108E+04   0.2640655E+04   0.2713946E-01   0.2167340E+04
   0.7886646E+00   0.3578409E-03   0.1582101E+04   0.5061648E+04   0.2829848E+04   0.2232343E-01   0.2059543E+04
   0.7934711E+00   0.3589018E-03   0.1585339E+04   0.5099304E+04   0.2843260E+04   0.2201372E-01   0.2052054E+04
   0.7876792E+00   0.3576237E-03   0.1581432E+04   0.5053936E+04   0.2827093E+04   0.2238753E-01   0.2061083E+04
   0.7792317E+00   0.3557664E-03   0.1575630E+04   0.4987917E+04   0.2803410E+04   0.2294565E-01   0.2074362E+04
   0.7515511E+00   0.3497361E-03   0.1555727E+04   0.4772865E+04   0.2724936E+04   0.2488733E-01   0.2118816E+04
   0.7804522E+00   0.3560342E-03   0.1576476E+04   0.4997443E+04   0.2806839E+04   0.2286406E-01   0.2072436E+04
   0.7260934E+00   0.3442666E-03   0.1536167E+04   0.4576855E+04   0.2651569E+04   0.2683767E-01   0.2161011E+04
   0.7205692E+00   0.3430896E-03   0.1531757E+04   0.4534551E+04   0.2635495E+04   0.2728325E-01   0.2170338E+04
   0.7591241E+00   0.3513773E-03   0.1561311E+04   0.4831503E+04   0.2746539E+04   0.2433833E-01   0.2106509E+04
   0.7930023E+00   0.3587982E-03   0.1585025E+04   0.5095629E+04   0.2841953E+04   0.2204371E-01   0.2052783E+04
   0.7081796E+00   0.3404626E-03   0.1521645E+04   0.4439975E+04   0.2599244E+04   0.2831315E-01   0.2191484E+04
   0.7855048E+00   0.3571449E-03   0.1579950E+04   0.5036925E+04   0.2821009E+04   0.2252972E-01   0.2064489E+04
   0.7130864E+00   0.3415009E-03   0.1525687E+04   0.4477380E+04   0.2613634E+04   0.2790013E-01   0.2183072E+04
   0.7904758E+00   0.3582404E-03   0.1583326E+04   0.5075831E+04   0.2834906E+04   0.2220615E-01   0.2056716E+04
   0.7652722E+00   0.3527145E-03   0.1565766E+04   0.4879218E+04   0.2764003E+04   0.2390265E-01   0.2096598E+04
   0.7084639E+00   0.3405227E-03   0.1521881E+04   0.4442141E+04   0.2600079E+04   0.2828903E-01   0.2190995E+04
   0.7459653E+00   0.3485297E-03   0.1551541E+04   0.4729710E+04   0.2708937E+04   0.2530121E-01   0.2127965E+04
   0.7773728E+00   0.3553587E-03   0.1574336E+04   0.4973413E+04   0.2798182E+04   0.2307056E-01   0.2077302E+04
   0.7958048E+00   0.3594178E-03   0.1586897E+04   0.5117608E+04   0.2849757E+04   0.2186508E-01   0.2048434E+04
   0.7844922E+00   0.3569221E-03   0.1579257E+04   0.5029007E+04   0.2818173E+04   0.2259628E-01   0.2066078E+04
   0.7978191E+00   0.3598636E-03   0.1588234E+04   0.5133417E+04   0.2855358E+04   0.2173771E-01   0.2045317E+04
   0.7293008E+00   0.3449516E-03   0.1538700E+04   0.4601454E+04   0.2660876E+04   0.2658273E-01   0.2155624E+04
   0.7362194E+00   0.3464333E-03   0.1544096E+04   0.4654612E+04   0.2680889E+04   0.2604202E-01   0.2144074E+04
   0.7004965E+00   0.3388425E-03   0.1515218E+04   0.4381539E+04   0.2576623E+04   0.2897375E-01   0.2204756E+04
   0.7428165E+00   0.3478512E-03   0.1549155E+04   0.4705419E+04   0.2699894E+04   0.2553794E-01   0.2133149E+04
   0.7178911E+00   0.3425202E-03   0.1529598E+04   0.4514072E+04   0.2627682E+04   0.2750226E-01   0.2174882E+04
   0.7017350E+00   0.3391032E-03   0.1516262E+04   0.4390947E+04   0.2580277E+04   0.2886611E-01   0.2202608E+04
   0.7100330E+00   0.3408544E-03   0.1523178E+04   0.4454096E+04   0.2604684E+04   0.2815634E-01   0.2188300E+04
   0.7687462E+00   0.3534719E-03   0.1568253E+04   0.4906222E+04   0.2773842E+04   0.2366035E-01   0.2091030E+04
   0.7891662E+00   0.3579515E-03   0.1582440E+04   0.5065575E+04   0.2831249E+04   0.2229088E-01   0.2058759E+04
   0.7039473E+00   0.3395693E-03   0.1518120E+04   0.4407764E+04   0.2586796E+04   0.2867493E-01   0.2198780E+04
   0.7474834E+00   0.3488572E-03   0.1552685E+04   0.4741430E+04   0.2713291E+04   0.2518797E-01   0.2125472E+04
   0.7100950E+00   0.3408676E-03   0.1523229E+04   0.4454569E+04   0.2604866E+04   0.2815111E-01   0.2188194E+04
   0.7287490E+00   0.3448337E-03   0.1538266E+04   0.4597221E+04   0.2659276E+04   0.2662639E-01   0.2156549E+04
   0.7776595E+00   0.3554215E-03   0.1574536E+04   0.4975649E+04   0.2798989E+04   0.2305125E-01   0.2076848E+04
   0.7544100E+00   0.3503549E-03   0.1557848E+04   0.4794984E+04   0.2733103E+04   0.2467846E-01   0.2114157E+04
   0.7442668E+00   0.3481635E-03   0.1550257E+04   0.4716604E+04   0.2704061E+04   0.2542860E-01   0.2130759E+04
   0.7254414E+00   0.3441275E-03   0.1535650E+04   0.4571858E+04   0.2649674E+04   0.2688983E-01   0.2162109E+04
   0.7727622E+00   0.3543492E-03   0.1571101E+04   0.4937478E+04   0.2785189E+04   0.2338370E-01   0.2084622E+04
   0.7119741E+00   0.3412653E-03   0.1524775E+04   0.4468895E+04   0.2610376E+04   0.2799316E-01   0.2184974E+04
   0.7657537E+00   0.3528194E-03   0.1566112E+04   0.4882958E+04   0.2765368E+04   0.2386890E-01   0.2095825E+04
   0.7175139E+00   0.3424401E-03   0.1529292E+04   0.4511189E+04   0.2626581E+04   0.2753326E-01   0.2175524E+04
   0.7479276E+00   0.3489531E-03   0.1553018E+04   0.4744861E+04   0.2714564E+04   0.2515494E-01   0.2124744E+04
   0.7361839E+00   0.3464257E-03   0.1544069E+04   0.4654340E+04   0.2680787E+04   0.2604476E-01   0.2144133E+04
   0.7329153E+00   0.3457250E-03   0.1541531E+04   0.4629210E+04   0.2671342E+04   0.2629868E-01   0.2149578E+04
   0.7543036E+00   0.3503319E-03   0.1557769E+04   0.4794161E+04   0.2732800E+04   0.2468619E-01   0.2114330E+04
   0.7680444E+00   0.3533188E-03   0.1567752E+04   0.4900764E+04   0.2771856E+04   0.2370908E-01   0.2092153E+04
   0.7191283E+00   0.3427832E-03   0.1530597E+04   0.4523530E+04   0.2631293E+04   0.2740084E-01   0.2172781E+04
   0.7416625E+00   0.3476028E-03   0.1548276E+04   0.4696524E+04   0.2696575E+04   0.2562531E-01   0.2135054E+04
   0.7148560E+00   0.3418760E-03   0.1527133E+04   0.4490887E+04   0.2618813E+04   0.2775284E-01   0.2180050E+04
   0.7618935E+00   0.3519791E-03   0.1563326E+04   0.4852984E+04   0.2754414E+04   0.2414098E-01   0.2102036E+04
   0.7665507E+00   0.3529931E-03   0.1566684E+04   0.4889152E+04   0.2767626E+04   0.2381315E-01   0.2094546E+04
   0.7425761E+00   0.3477994E-03   0.1548973E+04   0.4703566E+04   0.2699203E+04   0.2555611E-01   0.2133545E+04
   0.7934680E+00   0.3589011E-03   0.1585337E+04   0.5099279E+04   0.2843251E+04   0.2201391E-01   0.2052059E+04
   0.7748021E+00   0.3547956E-03   0.1572537E+04   0.4953370E+04   0.2790942E+04   0.2324457E-01   0.2081379E+04
   0.7136494E+00   0.3416202E-03   0.1526148E+04   0.4481677E+04   0.2615282E+04   0.2785318E-01   0.2182110E+04
   0.7064502E+00   0.3400973E-03   0.1520209E+04   0.4426807E+04   0.2594161E+04   0.2846036E-01   0.2194461E+04
   0.7590314E+00   0.3513572E-03   0.1561243E+04   0.4830784E+04   0.2746275E+04   0.2434497E-01   0.2106659E+04
   0.7705307E+00   0.3538615E-03   0.1569522E+04   0.4920105E+04   0.2778887E+04   0.2353697E-01   0.2088179E+04
   0.7426902E+00   0.3478240E-03   0.1549059E+04   0.4704446E+04   0.2699531E+04   0.2554748E-01   0.2133357E+04
   0.7336779E+00   0.3458884E-03   0.1542125E+04   0.4635070E+04   0.2673547E+04   0.2623920E-01   0.2148306E+04
   0.7583752E+00   0.3512147E-03   0.1560763E+04   0.4825698E+04   0.2744407E+04   0.2439201E-01   0.2107721E+04
   0.7351601E+00   0.3462061E-03   0.1543276E+04   0.4646465E+04   0.2677831E+04   0.2612400E-01   0.2145836E+04
   0.7698640E+00   0.3537160E-03   0.1569049E+04   0.4914918E+04   0.2777003E+04   0.2358298E-01   0.2089244E+04
   0.7732591E+00   0.3544579E-03   0.1571452E+04   0.4941349E+04   0.2786591E+04   0.2334972E-01   0.2083831E+04
   0.7413632E+00   0.3475384E-03   0.1548048E+04   0.4694217E+04   0.2695714E+04   0.2564803E-01   0.2135548E+04
   0.7247152E+00   0.3439727E-03   0.1535073E+04   0.4566293E+04   0.2647563E+04   0.2694807E-01   0.2163332E+04
   0.7288352E+00   0.3448521E-03   0.1538334E+04   0.4597882E+04   0.2659526E+04   0.2661957E-01   0.2156405E+04
   0.7546398E+00   0.3504047E-03   0.1558017E+04   0.4796763E+04   0.2733759E+04   0.2466175E-01   0.2113783E+04
   0.7036654E+00   0.3395099E-03   0.1517884E+04   0.4405621E+04   0.2585966E+04   0.2869921E-01   0.2199267E+04
   0.7179326E+00   0.3425291E-03   0.1529631E+04   0.4514390E+04   0.2627804E+04   0.2749884E-01   0.2174812E+04
   0.7382279E+00   0.3468644E-03   0.1545645E+04   0.4670069E+04   0.2686684E+04   0.2588737E-01   0.2140738E+04
   0.7647093E+00   0.3525919E-03   0.1565361E+04   0.4874845E+04   0.2762407E+04   0.2394217E-01   0.2097503E+04
   0.7558057E+00   0.3506573E-03   0.1558877E+04   0.4805790E+04   0.2737085E+04   0.2457720E-01   0.2111888E+04
   0.7443028E+00   0.3481713E-03   0.1550284E+04   0.4716882E+04   0.2704164E+04   0.2542589E-01   0.2130699E+04
   0.7605390E+00   0.3516847E-03   0.1562342E+04   0.4842475E+04   0.2750564E+04   0.2423728E-01   0.2104221E+04
   0.7536909E+00   0.3501991E-03   0.1557316E+04   0.4789418E+04   0.2731050E+04   0.2473081E-01   0.2115327E+04
   0.7695467E+00   0.3536467E-03   0.1568823E+04   0.4912449E+04   0.2776106E+04   0.2360491E-01   0.2089750E+04
   0.7613357E+00   0.3518578E-03   0.1562921E+04   0.4848656E+04   0.2752829E+04   0.2418058E-01   0.2102935E+04
   0.7132219E+00   0.3415296E-03   0.1525798E+04   0.4478415E+04   0.2614031E+04   0.2788882E-01   0.2182840E+04
   0.7676634E+00   0.3532357E-03   0.1567480E+04   0.4897802E+04   0.2770777E+04   0.2373557E-01   0.2092763E+04
   0.7819978E+00   0.3563737E-03   0.1577543E+04   0.5009514E+04   0.2811178E+04   0.2276119E-01   0.2070000E+04
   0.7629708E+00   0.3522134E-03   0.1564106E+04   0.4861345E+04   0.2757474E+04   0.2406470E-01   0.2100300E+04
   0.7203428E+00   0.3430414E-03   0.1531575E+04   0.4532819E+04   0.2634835E+04   0.2730169E-01   0.2170722E+04
   0.7285978E+00   0.3448014E-03   0.1538147E+04   0.4596061E+04   0.2658837E+04   0.2663837E-01   0.2156803E+04
   0.7855494E+00   0.3571547E-03   0.1579981E+04   0.5037274E+04   0.2821134E+04   0.2252679E-01   0.2064419E+04
   0.7435211E+00   0.3480029E-03   0.1549691E+04   0.4710852E+04   0.2701919E+04   0.2548475E-01   0.2131987E+04
   0.7558389E+00   0.3506645E-03   0.1558902E+04   0.4806047E+04   0.2737180E+04   0.2457480E-01   0.2111834E+04
   0.7971245E+00   0.3597098E-03   0.1587774E+04   0.5127964E+04   0.2853428E+04   0.2178154E-01   0.2046391E+04
